ride_month,start_station_name,monthly_rides,total_rides_for_month,total_rides_for_month_top10,popularity_relative_top10,popularity_absolute
2020-07,"Waterloo Station 1, Waterloo",2343,1152311,56263,4.164,0.203
2020-08,"Waterloo Station 1, Waterloo",2595,1136433,55463,4.679,0.228
2020-09,"Waterloo Station 1, Waterloo",3258,1120897,47838,6.81,0.291
2020-10,"Waterloo Station 1, Waterloo",2366,837070,31426,7.529,0.283
2020-11,"Waterloo Station 1, Waterloo",1892,749763,32118,5.891,0.252
2020-12,"Waterloo Station 1, Waterloo",1539,581394,22732,6.77,0.265
2021-01,"Waterloo Station 1, Waterloo",702,405015,16036,4.378,0.173
2021-02,"Waterloo Station 1, Waterloo",1029,504154,23574,4.365,0.204
2021-03,"Waterloo Station 1, Waterloo",1975,738522,38082,5.186,0.267
2021-04,"Waterloo Station 1, Waterloo",3136,930934,47786,6.563,0.337
2021-05,"Waterloo Station 1, Waterloo",2836,912059,39948,7.099,0.311
2021-06,"Waterloo Station 1, Waterloo",4102,1169603,56623,7.244,0.351
2021-07,"Waterloo Station 1, Waterloo",3719,1155434,55861,6.658,0.322
2021-08,"Waterloo Station 1, Waterloo",3874,1098972,58786,6.59,0.353
2021-09,"Waterloo Station 1, Waterloo",4880,1208914,55186,8.843,0.404
2021-10,"Waterloo Station 1, Waterloo",4476,1099712,48001,9.325,0.407
2021-11,"Waterloo Station 1, Waterloo",4753,936941,40491,11.738,0.507
2021-12,"Waterloo Station 1, Waterloo",2549,661029,28047,9.088,0.386
2022-01,"Waterloo Station 1, Waterloo",2833,741875,28863,9.815,0.382
2022-02,"Waterloo Station 1, Waterloo",3213,743581,32372,9.925,0.432
2022-03,"Waterloo Station 1, Waterloo",4874,1047369,51079,9.542,0.465
2022-04,"Waterloo Station 1, Waterloo",4216,1022467,51966,8.113,0.412
2022-05,"Waterloo Station 1, Waterloo",5107,1190590,57759,8.842,0.429
2022-06,"Waterloo Station 1, Waterloo",4781,1268701,60915,7.849,0.377
2022-07,"Waterloo Station 1, Waterloo",5516,1303376,65556,8.414,0.423
2022-08,"Waterloo Station 1, Waterloo",5093,1249038,63281,8.048,0.408
2022-09,"Waterloo Station 1, Waterloo",3085,609978,25171,12.256,0.506
2022-10,"Waterloo Station 1, Waterloo",3268,835240,32755,9.977,0.391
2022-11,"Waterloo Station 1, Waterloo",2882,593444,22569,12.77,0.486
2022-12,"Waterloo Station 1, Waterloo",1767,421860,15269,11.572,0.419
2023-01,"Waterloo Station 1, Waterloo",805,233478,8039,10.014,0.345
2015-01,"Waterloo Station 3, Waterloo",6391,547905,32453,19.693,1.166
2015-02,"Waterloo Station 3, Waterloo",6086,544239,33259,18.299,1.118
2015-03,"Waterloo Station 3, Waterloo",7125,696397,45116,15.793,1.023
2015-04,"Waterloo Station 3, Waterloo",6528,832313,60082,10.865,0.784
2015-05,"Waterloo Station 3, Waterloo",6708,895402,60294,11.125,0.749
2015-06,"Waterloo Station 3, Waterloo",7896,1033484,72885,10.834,0.764
2015-07,"Waterloo Station 3, Waterloo",7549,1125879,81431,9.27,0.67
2015-08,"Waterloo Station 3, Waterloo",6538,1033933,79328,8.242,0.632
2015-09,"Waterloo Station 3, Waterloo",7362,897193,58736,12.534,0.821
2015-10,"Waterloo Station 3, Waterloo",7299,878841,54662,13.353,0.831
2015-11,"Waterloo Station 3, Waterloo",6212,679551,37022,16.779,0.914
2015-12,"Waterloo Station 3, Waterloo",5222,603673,34087,15.32,0.865
2016-01,"Waterloo Station 3, Waterloo",5844,582492,32926,17.749,1.003
2016-02,"Waterloo Station 3, Waterloo",6266,593695,35354,17.724,1.055
2016-03,"Waterloo Station 3, Waterloo",6536,659448,44038,14.842,0.991
2016-04,"Waterloo Station 3, Waterloo",6813,772640,50428,13.51,0.882
2016-05,"Waterloo Station 3, Waterloo",7061,1001878,66895,10.555,0.705
2016-06,"Waterloo Station 3, Waterloo",7503,951412,61030,12.294,0.789
2016-07,"Waterloo Station 3, Waterloo",7522,1173751,79279,9.488,0.641
2016-08,"Waterloo Station 3, Waterloo",7134,1143776,75304,9.474,0.624
2016-09,"Waterloo Station 3, Waterloo",7368,1041676,62324,11.822,0.707
2016-10,"Waterloo Station 3, Waterloo",7419,935948,54214,13.685,0.793
2016-11,"Waterloo Station 3, Waterloo",7174,704335,39017,18.387,1.019
2016-12,"Waterloo Station 3, Waterloo",5427,651858,37296,14.551,0.833
2017-01,"Waterloo Station 3, Waterloo",6638,632433,37101,17.892,1.05
2017-02,"Waterloo Station 3, Waterloo",6751,612282,37196,18.15,1.103
2017-03,"Waterloo Station 3, Waterloo",7906,812873,50089,15.784,0.973
2017-04,"Waterloo Station 3, Waterloo",6651,908348,65034,10.227,0.732
2017-05,"Waterloo Station 3, Waterloo",7668,982816,64385,11.91,0.78
2017-06,"Waterloo Station 3, Waterloo",7750,1094355,68877,11.252,0.708
2017-07,"Waterloo Station 3, Waterloo",7764,1133048,75494,10.284,0.685
2017-08,"Waterloo Station 3, Waterloo",6005,982962,62311,9.637,0.611
2017-09,"Waterloo Station 3, Waterloo",7430,913300,53870,13.792,0.814
2017-10,"Waterloo Station 3, Waterloo",7599,951317,54416,13.965,0.799
2017-11,"Waterloo Station 3, Waterloo",7575,781786,42079,18.002,0.969
2017-12,"Waterloo Station 3, Waterloo",5278,526354,28550,18.487,1.003
2018-01,"Waterloo Station 3, Waterloo",7186,637781,36048,19.935,1.127
2018-02,"Waterloo Station 3, Waterloo",6172,568188,33384,18.488,1.086
2018-03,"Waterloo Station 3, Waterloo",6192,595999,35038,17.672,1.039
2018-04,"Waterloo Station 3, Waterloo",6623,813676,54396,12.176,0.814
2018-05,"Waterloo Station 3, Waterloo",7214,1099385,72931,9.892,0.656
2018-06,"Waterloo Station 3, Waterloo",7036,1168667,75858,9.275,0.602
2018-07,"Waterloo Station 3, Waterloo",7294,1239205,75447,9.668,0.589
2018-08,"Waterloo Station 3, Waterloo",6918,1046582,68419,10.111,0.661
2018-09,"Waterloo Station 3, Waterloo",6675,998118,57791,11.55,0.669
2018-10,"Waterloo Station 3, Waterloo",7370,967114,53544,13.764,0.762
2018-11,"Waterloo Station 3, Waterloo",6747,728658,38813,17.383,0.926
2018-12,"Waterloo Station 3, Waterloo",4903,578511,29710,16.503,0.848
2019-01,"Waterloo Station 3, Waterloo",6580,679520,35849,18.355,0.968
2019-02,"Waterloo Station 3, Waterloo",6223,691770,40062,15.533,0.9
2019-03,"Waterloo Station 3, Waterloo",6664,784410,43415,15.35,0.85
2019-04,"Waterloo Station 3, Waterloo",6444,880513,53705,11.999,0.732
2019-05,"Waterloo Station 3, Waterloo",6729,995968,57537,11.695,0.676
2019-06,"Waterloo Station 3, Waterloo",6411,993747,59403,10.792,0.645
2019-07,"Waterloo Station 3, Waterloo",7552,1138703,64788,11.656,0.663
2019-08,"Waterloo Station 3, Waterloo",6735,1041301,67749,9.941,0.647
2019-09,"Waterloo Station 3, Waterloo",6654,955206,53923,12.34,0.697
2019-10,"Waterloo Station 3, Waterloo",7096,841772,43517,16.306,0.843
2019-11,"Waterloo Station 3, Waterloo",6452,721661,35549,18.15,0.894
2019-12,"Waterloo Station 3, Waterloo",4458,585492,28703,15.531,0.761
2020-01,"Waterloo Station 3, Waterloo",6201,702683,36653,16.918,0.882
2020-02,"Waterloo Station 3, Waterloo",5860,634646,32544,18.006,0.923
2020-03,"Waterloo Station 3, Waterloo",3647,547830,25839,14.114,0.666
2020-04,"Waterloo Station 3, Waterloo",252,582788,17997,1.4,0.043
2020-05,"Waterloo Station 3, Waterloo",537,1102153,45178,1.189,0.049
2020-06,"Waterloo Station 3, Waterloo",1196,1139072,48027,2.49,0.105
2020-07,"Waterloo Station 3, Waterloo",1999,1152311,56263,3.553,0.173
2020-08,"Waterloo Station 3, Waterloo",2371,1136433,55463,4.275,0.209
2020-09,"Waterloo Station 3, Waterloo",3551,1120897,47838,7.423,0.317
2020-10,"Waterloo Station 3, Waterloo",3003,837070,31426,9.556,0.359
2020-11,"Waterloo Station 3, Waterloo",2008,749763,32118,6.252,0.268
2020-12,"Waterloo Station 3, Waterloo",1756,581394,22732,7.725,0.302
2021-01,"Waterloo Station 3, Waterloo",862,405015,16036,5.375,0.213
2021-02,"Waterloo Station 3, Waterloo",969,504154,23574,4.11,0.192
2021-03,"Waterloo Station 3, Waterloo",1424,738522,38082,3.739,0.193
2021-04,"Waterloo Station 3, Waterloo",1751,930934,47786,3.664,0.188
2021-05,"Waterloo Station 3, Waterloo",3211,912059,39948,8.038,0.352
2021-06,"Waterloo Station 3, Waterloo",3604,1169603,56623,6.365,0.308
2021-07,"Waterloo Station 3, Waterloo",3678,1155434,55861,6.584,0.318
2021-08,"Waterloo Station 3, Waterloo",3344,1098972,58786,5.688,0.304
2021-09,"Waterloo Station 3, Waterloo",4973,1208914,55186,9.011,0.411
2021-10,"Waterloo Station 3, Waterloo",5312,1099712,48001,11.066,0.483
2021-11,"Waterloo Station 3, Waterloo",5798,936941,40491,14.319,0.619
2021-12,"Waterloo Station 3, Waterloo",3115,661029,28047,11.106,0.471
2022-01,"Waterloo Station 3, Waterloo",3668,741875,28863,12.708,0.494
2022-02,"Waterloo Station 3, Waterloo",4322,743581,32372,13.351,0.581
2022-03,"Waterloo Station 3, Waterloo",5636,1047369,51079,11.034,0.538
2022-04,"Waterloo Station 3, Waterloo",4184,1022467,51966,8.051,0.409
2022-05,"Waterloo Station 3, Waterloo",5181,1190590,57759,8.97,0.435
2022-06,"Waterloo Station 3, Waterloo",4653,1268701,60915,7.639,0.367
2022-07,"Waterloo Station 3, Waterloo",4565,1303376,65556,6.964,0.35
2022-08,"Waterloo Station 3, Waterloo",4174,1249038,63281,6.596,0.334
2022-09,"Waterloo Station 3, Waterloo",3483,609978,25171,13.837,0.571
2022-10,"Waterloo Station 3, Waterloo",3909,835240,32755,11.934,0.468
2022-11,"Waterloo Station 3, Waterloo",3417,593444,22569,15.14,0.576
2022-12,"Waterloo Station 3, Waterloo",1979,421860,15269,12.961,0.469
2023-01,"Waterloo Station 3, Waterloo",1193,233478,8039,14.84,0.511
2015-01,"Wellington Arch, Hyde Park",1542,547905,32453,4.751,0.281
2015-02,"Wellington Arch, Hyde Park",1734,544239,33259,5.214,0.319
2015-03,"Wellington Arch, Hyde Park",2431,696397,45116,5.388,0.349
2015-04,"Wellington Arch, Hyde Park",3884,832313,60082,6.464,0.467
2015-05,"Wellington Arch, Hyde Park",4419,895402,60294,7.329,0.494
2015-06,"Wellington Arch, Hyde Park",4910,1033484,72885,6.737,0.475
2015-07,"Wellington Arch, Hyde Park",5816,1125879,81431,7.142,0.517
2015-08,"Wellington Arch, Hyde Park",6386,1033933,79328,8.05,0.618
2015-09,"Wellington Arch, Hyde Park",4117,897193,58736,7.009,0.459
2015-10,"Wellington Arch, Hyde Park",3847,878841,54662,7.038,0.438
2015-11,"Wellington Arch, Hyde Park",2034,679551,37022,5.494,0.299
2015-12,"Wellington Arch, Hyde Park",2411,603673,34087,7.073,0.399
2016-01,"Wellington Arch, Hyde Park",1569,582492,32926,4.765,0.269
2016-02,"Wellington Arch, Hyde Park",1820,593695,35354,5.148,0.307
2016-03,"Wellington Arch, Hyde Park",2647,659448,44038,6.011,0.401
2016-04,"Wellington Arch, Hyde Park",2864,772640,50428,5.679,0.371
2016-05,"Wellington Arch, Hyde Park",4855,1001878,66895,7.258,0.485
2016-06,"Wellington Arch, Hyde Park",4782,951412,61030,7.835,0.503
2016-07,"Wellington Arch, Hyde Park",7712,1173751,79279,9.728,0.657
2016-08,"Wellington Arch, Hyde Park",7287,1143776,75304,9.677,0.637
2016-09,"Wellington Arch, Hyde Park",4684,1041676,62324,7.516,0.45
2016-10,"Wellington Arch, Hyde Park",4279,935948,54214,7.893,0.457
2016-11,"Wellington Arch, Hyde Park",2304,704335,39017,5.905,0.327
2016-12,"Wellington Arch, Hyde Park",2890,651858,37296,7.749,0.443
2017-01,"Wellington Arch, Hyde Park",2118,632433,37101,5.709,0.335
2017-02,"Wellington Arch, Hyde Park",2019,612282,37196,5.428,0.33
2017-03,"Wellington Arch, Hyde Park",3264,812873,50089,6.516,0.402
2017-04,"Wellington Arch, Hyde Park",5002,908348,65034,7.691,0.551
2017-05,"Wellington Arch, Hyde Park",4441,982816,64385,6.898,0.452
2017-06,"Wellington Arch, Hyde Park",5552,1094355,68877,8.061,0.507
2017-07,"Wellington Arch, Hyde Park",6116,1133048,75494,8.101,0.54
2017-08,"Wellington Arch, Hyde Park",4965,982962,62311,7.968,0.505
2017-09,"Wellington Arch, Hyde Park",3588,913300,53870,6.66,0.393
2017-10,"Wellington Arch, Hyde Park",3625,951317,54416,6.662,0.381
2017-11,"Wellington Arch, Hyde Park",2439,781786,42079,5.796,0.312
2017-12,"Wellington Arch, Hyde Park",1703,526354,28550,5.965,0.324
2018-01,"Wellington Arch, Hyde Park",1792,637781,36048,4.971,0.281
2018-02,"Wellington Arch, Hyde Park",1832,568188,33384,5.488,0.322
2018-03,"Wellington Arch, Hyde Park",2019,595999,35038,5.762,0.339
2018-04,"Wellington Arch, Hyde Park",4227,813676,54396,7.771,0.519
2018-05,"Wellington Arch, Hyde Park",5455,1099385,72931,7.48,0.496
2018-06,"Wellington Arch, Hyde Park",5817,1168667,75858,7.668,0.498
2018-07,"Wellington Arch, Hyde Park",7556,1239205,75447,10.015,0.61
2018-08,"Wellington Arch, Hyde Park",5705,1046582,68419,8.338,0.545
2018-09,"Wellington Arch, Hyde Park",4734,998118,57791,8.192,0.474
2018-10,"Wellington Arch, Hyde Park",3764,967114,53544,7.03,0.389
2018-11,"Wellington Arch, Hyde Park",2105,728658,38813,5.423,0.289
2018-12,"Wellington Arch, Hyde Park",939,578511,29710,3.161,0.162
2019-01,"Wellington Arch, Hyde Park",1872,679520,35849,5.222,0.275
2019-02,"Wellington Arch, Hyde Park",2952,691770,40062,7.369,0.427
2019-03,"Wellington Arch, Hyde Park",2910,784410,43415,6.703,0.371
2019-04,"Wellington Arch, Hyde Park",3752,880513,53705,6.986,0.426
2019-05,"Wellington Arch, Hyde Park",3881,995968,57537,6.745,0.39
2019-06,"Wellington Arch, Hyde Park",4976,993747,59403,8.377,0.501
2019-07,"Wellington Arch, Hyde Park",6879,1138703,64788,10.618,0.604
2019-08,"Wellington Arch, Hyde Park",6506,1041301,67749,9.603,0.625
2019-09,"Wellington Arch, Hyde Park",4440,955206,53923,8.234,0.465
2019-10,"Wellington Arch, Hyde Park",3195,841772,43517,7.342,0.38
2019-11,"Wellington Arch, Hyde Park",2276,721661,35549,6.402,0.315
2019-12,"Wellington Arch, Hyde Park",2465,585492,28703,8.588,0.421
2020-01,"Wellington Arch, Hyde Park",2488,702683,36653,6.788,0.354
2020-02,"Wellington Arch, Hyde Park",2164,634646,32544,6.649,0.341
2020-03,"Wellington Arch, Hyde Park",2135,547830,25839,8.263,0.39
2020-04,"Wellington Arch, Hyde Park",3946,582788,17997,21.926,0.677
2020-05,"Wellington Arch, Hyde Park",7315,1102153,45178,16.192,0.664
2020-06,"Wellington Arch, Hyde Park",6957,1139072,48027,14.486,0.611
2020-07,"Wellington Arch, Hyde Park",7119,1152311,56263,12.653,0.618
2020-08,"Wellington Arch, Hyde Park",7135,1136433,55463,12.864,0.628
2020-09,"Wellington Arch, Hyde Park",5483,1120897,47838,11.462,0.489
2020-10,"Wellington Arch, Hyde Park",3550,837070,31426,11.296,0.424
2020-11,"Wellington Arch, Hyde Park",4748,749763,32118,14.783,0.633
2020-12,"Wellington Arch, Hyde Park",3042,581394,22732,13.382,0.523
2021-01,"Wellington Arch, Hyde Park",2408,405015,16036,15.016,0.595
2021-02,"Wellington Arch, Hyde Park",2974,504154,23574,12.616,0.59
2021-03,"Wellington Arch, Hyde Park",5580,738522,38082,14.653,0.756
2021-04,"Wellington Arch, Hyde Park",7242,930934,47786,15.155,0.778
2021-05,"Wellington Arch, Hyde Park",4868,912059,39948,12.186,0.534
2021-06,"Wellington Arch, Hyde Park",6923,1169603,56623,12.226,0.592
2021-07,"Wellington Arch, Hyde Park",6497,1155434,55861,11.631,0.562
2021-08,"Wellington Arch, Hyde Park",6740,1098972,58786,11.465,0.613
2021-09,"Wellington Arch, Hyde Park",5969,1208914,55186,10.816,0.494
2021-10,"Wellington Arch, Hyde Park",4943,1099712,48001,10.298,0.449
2021-11,"Wellington Arch, Hyde Park",3872,936941,40491,9.563,0.413
2021-12,"Wellington Arch, Hyde Park",3267,661029,28047,11.648,0.494
2022-01,"Wellington Arch, Hyde Park",2761,741875,28863,9.566,0.372
2022-02,"Wellington Arch, Hyde Park",3244,743581,32372,10.021,0.436
2022-03,"Wellington Arch, Hyde Park",4942,1047369,51079,9.675,0.472
2022-04,"Wellington Arch, Hyde Park",5927,1022467,51966,11.406,0.58
2022-05,"Wellington Arch, Hyde Park",4746,1190590,57759,8.217,0.399
2022-06,"Wellington Arch, Hyde Park",5809,1268701,60915,9.536,0.458
2022-07,"Wellington Arch, Hyde Park",6949,1303376,65556,10.6,0.533
2022-08,"Wellington Arch, Hyde Park",5908,1249038,63281,9.336,0.473
2022-09,"Wellington Arch, Hyde Park",1983,609978,25171,7.878,0.325
2022-10,"Wellington Arch, Hyde Park",2410,835240,32755,7.358,0.289
2022-11,"Wellington Arch, Hyde Park",1356,593444,22569,6.008,0.228
2022-12,"Wellington Arch, Hyde Park",1076,421860,15269,7.047,0.255
2023-01,"Wellington Arch, Hyde Park",308,233478,8039,3.831,0.132
2015-01,"Wormwood Street, Liverpool Street",3425,547905,32453,10.554,0.625
2015-02,"Wormwood Street, Liverpool Street",3365,544239,33259,10.118,0.618
2015-03,"Wormwood Street, Liverpool Street",3947,696397,45116,8.749,0.567
2015-04,"Wormwood Street, Liverpool Street",4428,832313,60082,7.37,0.532
2015-05,"Wormwood Street, Liverpool Street",4299,895402,60294,7.13,0.48
2015-06,"Wormwood Street, Liverpool Street",5187,1033484,72885,7.117,0.502
2015-07,"Wormwood Street, Liverpool Street",5961,1125879,81431,7.32,0.529
2015-08,"Wormwood Street, Liverpool Street",5134,1033933,79328,6.472,0.497
2015-09,"Wormwood Street, Liverpool Street",4769,897193,58736,8.119,0.532
2015-10,"Wormwood Street, Liverpool Street",4317,878841,54662,7.898,0.491
2015-11,"Wormwood Street, Liverpool Street",3764,679551,37022,10.167,0.554
2015-12,"Wormwood Street, Liverpool Street",3142,603673,34087,9.218,0.52
2016-01,"Wormwood Street, Liverpool Street",3447,582492,32926,10.469,0.592
2016-02,"Wormwood Street, Liverpool Street",3385,593695,35354,9.575,0.57
2016-03,"Wormwood Street, Liverpool Street",3477,659448,44038,7.895,0.527
2016-04,"Wormwood Street, Liverpool Street",3635,772640,50428,7.208,0.47
2016-05,"Wormwood Street, Liverpool Street",4389,1001878,66895,6.561,0.438
2016-06,"Wormwood Street, Liverpool Street",4219,951412,61030,6.913,0.443
2016-07,"Wormwood Street, Liverpool Street",4765,1173751,79279,6.01,0.406
2016-08,"Wormwood Street, Liverpool Street",4704,1143776,75304,6.247,0.411
2016-09,"Wormwood Street, Liverpool Street",4731,1041676,62324,7.591,0.454
2016-10,"Wormwood Street, Liverpool Street",4461,935948,54214,8.229,0.477
2016-11,"Wormwood Street, Liverpool Street",3921,704335,39017,10.049,0.557
2016-12,"Wormwood Street, Liverpool Street",3055,651858,37296,8.191,0.469
2017-01,"Wormwood Street, Liverpool Street",3363,632433,37101,9.064,0.532
2017-02,"Wormwood Street, Liverpool Street",3105,612282,37196,8.348,0.507
2017-03,"Wormwood Street, Liverpool Street",3874,812873,50089,7.734,0.477
2017-04,"Wormwood Street, Liverpool Street",3381,908348,65034,5.199,0.372
2017-05,"Wormwood Street, Liverpool Street",4061,982816,64385,6.307,0.413
2017-06,"Wormwood Street, Liverpool Street",4421,1094355,68877,6.419,0.404
2017-07,"Wormwood Street, Liverpool Street",4509,1133048,75494,5.973,0.398
2017-08,"Wormwood Street, Liverpool Street",3704,982962,62311,5.944,0.377
2017-09,"Wormwood Street, Liverpool Street",3942,913300,53870,7.318,0.432
2017-10,"Wormwood Street, Liverpool Street",4184,951317,54416,7.689,0.44
2017-11,"Wormwood Street, Liverpool Street",3695,781786,42079,8.781,0.473
2017-12,"Wormwood Street, Liverpool Street",2229,526354,28550,7.807,0.423
2018-01,"Wormwood Street, Liverpool Street",3171,637781,36048,8.797,0.497
2018-02,"Wormwood Street, Liverpool Street",2644,568188,33384,7.92,0.465
2018-03,"Wormwood Street, Liverpool Street",2732,595999,35038,7.797,0.458
2018-04,"Wormwood Street, Liverpool Street",3339,813676,54396,6.138,0.41
2018-05,"Wormwood Street, Liverpool Street",4195,1099385,72931,5.752,0.382
2018-06,"Wormwood Street, Liverpool Street",4473,1168667,75858,5.897,0.383
2018-07,"Wormwood Street, Liverpool Street",4826,1239205,75447,6.397,0.389
2018-08,"Wormwood Street, Liverpool Street",4050,1046582,68419,5.919,0.387
2018-09,"Wormwood Street, Liverpool Street",4173,998118,57791,7.221,0.418
2018-10,"Wormwood Street, Liverpool Street",4402,967114,53544,8.221,0.455
2018-11,"Wormwood Street, Liverpool Street",3632,728658,38813,9.358,0.498
2018-12,"Wormwood Street, Liverpool Street",2334,578511,29710,7.856,0.403
2019-01,"Wormwood Street, Liverpool Street",3455,679520,35849,9.638,0.508
2019-02,"Wormwood Street, Liverpool Street",3182,691770,40062,7.943,0.46
2019-03,"Wormwood Street, Liverpool Street",3572,784410,43415,8.228,0.455
2019-04,"Wormwood Street, Liverpool Street",3792,880513,53705,7.061,0.431
2019-05,"Wormwood Street, Liverpool Street",4239,995968,57537,7.367,0.426
2019-06,"Wormwood Street, Liverpool Street",3917,993747,59403,6.594,0.394
2019-07,"Wormwood Street, Liverpool Street",4779,1138703,64788,7.376,0.42
2019-08,"Wormwood Street, Liverpool Street",3951,1041301,67749,5.832,0.379
2019-09,"Wormwood Street, Liverpool Street",4337,955206,53923,8.043,0.454
2019-10,"Wormwood Street, Liverpool Street",4160,841772,43517,9.559,0.494
2019-11,"Wormwood Street, Liverpool Street",3546,721661,35549,9.975,0.491
2019-12,"Wormwood Street, Liverpool Street",2558,585492,28703,8.912,0.437
2020-01,"Wormwood Street, Liverpool Street",3498,702683,36653,9.544,0.498
2020-02,"Wormwood Street, Liverpool Street",3221,634646,32544,9.897,0.508
2020-03,"Wormwood Street, Liverpool Street",2070,547830,25839,8.011,0.378
2020-04,"Wormwood Street, Liverpool Street",802,582788,17997,4.456,0.138
2020-05,"Wormwood Street, Liverpool Street",1581,1102153,45178,3.499,0.143
2020-06,"Wormwood Street, Liverpool Street",2686,1139072,48027,5.593,0.236
2020-07,"Wormwood Street, Liverpool Street",3164,1152311,56263,5.624,0.275
2020-08,"Wormwood Street, Liverpool Street",3345,1136433,55463,6.031,0.294
2020-09,"Wormwood Street, Liverpool Street",3674,1120897,47838,7.68,0.328
2020-10,"Wormwood Street, Liverpool Street",2919,837070,31426,9.288,0.349
2020-11,"Wormwood Street, Liverpool Street",2140,749763,32118,6.663,0.285
2020-12,"Wormwood Street, Liverpool Street",1680,581394,22732,7.39,0.289
2021-01,"Wormwood Street, Liverpool Street",1143,405015,16036,7.128,0.282
2021-02,"Wormwood Street, Liverpool Street",1317,504154,23574,5.587,0.261
2021-03,"Wormwood Street, Liverpool Street",2158,738522,38082,5.667,0.292
2021-04,"Wormwood Street, Liverpool Street",2779,930934,47786,5.816,0.299
2021-05,"Wormwood Street, Liverpool Street",3083,912059,39948,7.718,0.338
2021-06,"Wormwood Street, Liverpool Street",4060,1169603,56623,7.17,0.347
2021-07,"Wormwood Street, Liverpool Street",4329,1155434,55861,7.75,0.375
2021-08,"Wormwood Street, Liverpool Street",4706,1098972,58786,8.005,0.428
2021-09,"Wormwood Street, Liverpool Street",5358,1208914,55186,9.709,0.443
2021-10,"Wormwood Street, Liverpool Street",4581,1099712,48001,9.544,0.417
2021-11,"Wormwood Street, Liverpool Street",4719,936941,40491,11.654,0.504
2021-12,"Wormwood Street, Liverpool Street",2857,661029,28047,10.186,0.432
2022-01,"Wormwood Street, Liverpool Street",3279,741875,28863,11.361,0.442
2022-02,"Wormwood Street, Liverpool Street",3678,743581,32372,11.362,0.495
2022-03,"Wormwood Street, Liverpool Street",5390,1047369,51079,10.552,0.515
2022-04,"Wormwood Street, Liverpool Street",4349,1022467,51966,8.369,0.425
2022-05,"Wormwood Street, Liverpool Street",4943,1190590,57759,8.558,0.415
2022-06,"Wormwood Street, Liverpool Street",4731,1268701,60915,7.767,0.373
2022-07,"Wormwood Street, Liverpool Street",4957,1303376,65556,7.561,0.38
2022-08,"Wormwood Street, Liverpool Street",5128,1249038,63281,8.104,0.411
2022-09,"Wormwood Street, Liverpool Street",3139,609978,25171,12.471,0.515
2022-10,"Wormwood Street, Liverpool Street",3523,835240,32755,10.756,0.422
2022-11,"Wormwood Street, Liverpool Street",2830,593444,22569,12.539,0.477
2022-12,"Wormwood Street, Liverpool Street",1982,421860,15269,12.981,0.47
2023-01,"Wormwood Street, Liverpool Street",1010,233478,8039,12.564,0.433